Periodo,Grupo,Producto,Super,Precio,Rango_precio_producto,Mes,Rango_precio,Tipo_envase,Es_canasta_basica,Trimestre,Semestre,Precio_promedio_producto,Diferencia_vs_promedio_producto,Porcentaje_vs_promedio_producto,Posicion_precio_producto,Precio_min_producto,Diferencia_vs_min_producto,Ranking_precio_producto,Cantidad_supers_producto
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Devoto,80.0,Bajo,4,Bajo,Envase,True,T2,S1,93.4,-13.400000000000006,-14.346895074946472,Mas barato que promedio,79.0,1.0,2.0,5
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Devoto Express,99.0,Medio bajo,4,Bajo,Envase,True,T2,S1,93.4,5.599999999999994,5.99571734475374,Mas caro que promedio,79.0,20.0,6.0,5
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Disco,99.0,Medio bajo,4,Bajo,Envase,True,T2,S1,93.4,5.599999999999994,5.99571734475374,Mas caro que promedio,79.0,20.0,6.0,5
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Ta - Ta,95.0,Medio bajo,4,Bajo,Envase,True,T2,S1,93.4,1.5999999999999943,1.7130620985010645,Mas caro que promedio,79.0,16.0,4.0,5
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Tienda Inglesa,97.0,Medio bajo,4,Bajo,Envase,True,T2,S1,93.4,3.5999999999999943,3.8543897216274026,Mas caro que promedio,79.0,18.0,5.0,5
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Devoto,119.0,Medio bajo,4,Medio,Envase,True,T2,S1,120.303,-1.3029999999999973,-1.0830985095965997,Mas barato que promedio,99.0,20.0,11.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Devoto Express,123.0,Medio alto,4,Medio,Envase,True,T2,S1,120.303,2.6970000000000027,2.241839355627044,Mas caro que promedio,99.0,24.0,14.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Disco,119.0,Medio bajo,4,Medio,Envase,True,T2,S1,120.303,-1.3029999999999973,-1.0830985095965997,Mas barato que promedio,99.0,20.0,11.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,El Dorado,119.0,Medio bajo,4,Medio,Envase,True,T2,S1,120.303,-1.3029999999999973,-1.0830985095965997,Mas barato que promedio,99.0,20.0,11.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Frog,130.0,Alto,4,Medio,Envase,True,T2,S1,120.303,9.697000000000003,8.06048061976842,Mas caro que promedio,99.0,31.0,19.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Kinko,132.0,Alto,4,Medio,Envase,True,T2,S1,120.303,11.697000000000003,9.722949552380241,Mas caro que promedio,99.0,33.0,20.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Red Expres,115.0,Bajo,4,Medio,Envase,True,T2,S1,120.303,-5.302999999999997,-4.408036374820243,Mas barato que promedio,99.0,16.0,8.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Red Market,115.0,Bajo,4,Medio,Envase,True,T2,S1,120.303,-5.302999999999997,-4.408036374820243,Mas barato que promedio,99.0,16.0,8.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Ta - Ta,121.0,Medio alto,4,Medio,Envase,True,T2,S1,120.303,0.6970000000000027,0.5793704230152222,Mas caro que promedio,99.0,22.0,13.0,10
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Tienda Inglesa,126.0,Medio alto,4,Medio,Envase,True,T2,S1,120.303,5.697000000000003,4.735542754544777,Mas caro que promedio,99.0,27.0,16.0,10
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,El Clon,85.0,Bajo,4,Bajo,Envase,True,T2,S1,91.2244578313253,-6.224457831325296,-6.823233570578588,Mas barato que promedio,79.0,6.0,5.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,El Dorado,89.9,Medio bajo,4,Bajo,Envase,True,T2,S1,91.2244578313253,-1.3244578313252902,-1.4518670352354657,Mas barato que promedio,79.0,10.900000000000006,10.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Macro,91.49,Medio alto,4,Bajo,Envase,True,T2,S1,91.2244578313253,0.26554216867469904,0.2910865956207583,Mas caro que promedio,79.0,12.489999999999995,13.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Micro Macro,98.8,Alto,4,Bajo,Envase,True,T2,S1,91.2244578313253,7.575542168674701,8.304288508551002,Mas caro que promedio,79.0,19.799999999999997,21.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Red Expres,85.0,Bajo,4,Bajo,Envase,True,T2,S1,91.2244578313253,-6.224457831325296,-6.823233570578588,Mas barato que promedio,79.0,6.0,5.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Red Market,87.0,Medio bajo,4,Bajo,Envase,True,T2,S1,91.2244578313253,-4.224457831325296,-4.630839066356908,Mas barato que promedio,79.0,8.0,6.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Ta - Ta,94.0,Medio alto,4,Bajo,Envase,True,T2,S1,91.2244578313253,2.775542168674704,3.042541698418973,Mas caro que promedio,79.0,15.0,15.0,9
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Tienda Inglesa,101.0,Alto,4,Medio,Envase,True,T2,S1,91.2244578313253,9.775542168674704,10.715922463194854,Mas caro que promedio,79.0,22.0,22.0,9
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Devoto,99.0,Medio bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,0.33982456140350337,0.3444394456961018,Mas caro que promedio,88.0,11.0,12.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Devoto Express,102.0,Medio alto,4,Medio,Envase,True,T2,S1,98.6601754385965,3.3398245614035034,3.38518003495962,Mas caro que promedio,88.0,14.0,16.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Disco,99.0,Medio bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,0.33982456140350337,0.3444394456961018,Mas caro que promedio,88.0,11.0,12.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,El Clon,95.0,Bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,-3.6601754385964966,-3.709881339988589,Mas barato que promedio,88.0,7.0,4.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,El Dorado,98.0,Bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,-0.6601754385964966,-0.669140750725071,Mas barato que promedio,88.0,10.0,9.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Kinko,99.0,Medio bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,0.33982456140350337,0.3444394456961018,Mas caro que promedio,88.0,11.0,12.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Macro,97.97,Bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,-0.6901754385964978,-0.6995481566177073,Mas barato que promedio,88.0,9.969999999999999,8.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Micro Macro,97.97,Bajo,4,Bajo,Envase,True,T2,S1,98.6601754385965,-0.6901754385964978,-0.6995481566177073,Mas barato que promedio,88.0,9.969999999999999,8.0,14
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Red Expres,105.0,Alto,4,Medio,Envase,True,T2,S1,98.6601754385965,6.339824561403503,6.425920624223139,Mas caro que promedio,88.0,17.0,17.0,14
