Periodo;Grupo;Producto;Super;Precio
Abr-25;Alimentos y bebidas;Aceite de girasol Marca Propia Envase 900 cc;Devoto;80
Abr-25;Alimentos y bebidas;Aceite de girasol Marca Propia Envase 900 cc;Devoto Express;99
Abr-25;Alimentos y bebidas;Aceite de girasol Marca Propia Envase 900 cc;Disco;99
Abr-25;Alimentos y bebidas;Aceite de girasol Marca Propia Envase 900 cc;Ta - Ta;95
Abr-25;Alimentos y bebidas;Aceite de girasol Marca Propia Envase 900 cc;Tienda Inglesa;97
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Devoto;119
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Devoto Express;123
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Disco;119
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;El Dorado;119
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Frog;130
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Kinko;132
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Red Expres;115
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Red Market;115
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Ta - Ta;121
Abr-25;Alimentos y bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Tienda Inglesa;126
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;El Clon;85
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;El Dorado;89,9
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Macro;91,49
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Micro Macro;98,8
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Red Expres;85
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Red Market;87
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Ta - Ta;94
Abr-25;Alimentos y bebidas;Aceite de girasol Uruguay Envase 900 cc;Tienda Inglesa;101
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Devoto;99
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Devoto Express;102
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Disco;99
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;El Clon;95
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;El Dorado;98
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Frog;123
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Kinko;99
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Macro;97,97
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Micro Macro;97,97
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Red Expres;105
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Red Market;100,5
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Ta - Ta;99
Abr-25;Alimentos y bebidas;Aceite de girasol Óptimo Envase 900 cc;Tienda Inglesa;102
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Devoto;129
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Devoto Express;133
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Disco;129
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;El Clon;105
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;El Dorado;129,9
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Macro;115,54
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Micro Macro;124,78
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Red Expres;121
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Red Market;105
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Ta - Ta;129
Abr-25;Alimentos y bebidas;Aceite de maíz Delicia Envase 900 cc;Tienda Inglesa;140
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Devoto;139
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Devoto Express;143
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Disco;139
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;El Dorado;139
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Frog;135
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Kinko;145
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Red Expres;140
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Red Market;139,5
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Ta - Ta;143
Abr-25;Alimentos y bebidas;Aceite de maíz Río de la Plata Envase 900 cc;Tienda Inglesa;145
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Devoto;75
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Devoto Express;77
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Disco;75
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;El Clon;68
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;El Dorado;69
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Red Expres;65
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Red Market;69
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Ta - Ta;74
Abr-25;Alimentos y bebidas;Aceite de soja Condesa Envase 900 cc;Tienda Inglesa;88
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Devoto;79
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Devoto Express;81
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Disco;79
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;El Clon;68
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;El Dorado;69
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Frog;90
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Kinko;90
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Red Expres;69
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Red Market;74,45
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Ta - Ta;79
Abr-25;Alimentos y bebidas;Aceite de soja Río de la Plata Envase 900 cc;Tienda Inglesa;80
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Devoto;61
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Devoto Express;63
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;Disco;61
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;El Clon;60
Abr-25;Alimentos y bebidas;Agua de mesa con gas Matutina Envase 2 lt.;El Dorado;61
